variable,sort_type,modes,chi2
1.00,hist,1,0.00
1.00,hist,2,0.00
1.00,hist,3,0.00
1.00,hist,4,0.00
1.00,hist,5,0.00
1.00,hist,6,0.00
1.00,hist,7,0.00
1.00,hist,8,0.00
1.00,hist,9,0.00
1.00,hist,10,0.00
1.00,hist,11,0.00
1.00,hist,12,0.00
1.00,hist,13,0.00
1.00,hist,14,0.00
1.00,hist,15,0.00
1.00,hist,16,0.00
1.00,hist,17,0.00
1.00,hist,18,0.00
1.00,hist,19,0.00
1.00,hist,20,0.00
1.00,hist,21,0.00
1.00,hist,22,0.00
1.00,hist,23,0.05
1.00,hist,24,0.18
1.00,hist,25,0.41
1.00,hist,26,0.73
1.00,hist,27,1.14
1.00,hist,28,1.64
1.00,hist,29,2.23
1.00,hist,30,2.91
1.00,hist,31,3.68
1.00,hist,32,4.55
1.00,hist,33,5.50
1.00,hist,34,6.55
1.00,hist,35,6.55
1.00,hist,36,6.55
1.00,hist,37,6.55
1.00,hist,38,6.55
1.00,hist,39,6.55
1.00,hist,40,6.55
1.00,hist,41,6.55
1.00,hist,42,6.55
1.00,hist,43,6.55
1.00,hist,44,6.55
1.00,hist,45,6.55
1.00,hist,46,6.55
1.00,hist,47,6.55
1.00,hist,48,6.55
1.00,hist,49,6.55
1.00,hist,50,6.55
1.00,hist,51,6.55
1.00,hist,52,6.55
1.00,hist,53,6.55
1.00,hist,54,6.55
1.00,hist,55,6.55
1.00,hist,56,10.21
1.00,hist,57,9.58
1.00,hist,58,9.00
1.00,hist,59,8.48
1.00,hist,60,8.03
1.00,hist,61,7.64
1.00,hist,62,7.30
1.00,hist,63,7.03
1.00,hist,64,6.82
1.00,hist,65,6.67
1.00,hist,66,6.58
1.00,hist,67,6.55
1.00,hist,68,6.58
1.00,hist,69,6.67
1.00,hist,70,6.82
1.00,hist,71,7.03
1.00,hist,72,7.30
1.00,hist,73,7.64
1.00,hist,74,8.03
1.00,hist,75,8.48
1.00,hist,76,9.00
1.00,hist,77,9.58
1.00,hist,78,10.21
1.00,hist,79,10.91
1.00,hist,80,11.67
1.00,hist,81,12.48
1.00,hist,82,13.36
1.00,hist,83,14.30
1.00,hist,84,15.30
1.00,hist,85,16.36
1.00,hist,86,17.48
1.00,hist,87,18.67
1.00,hist,88,19.91
1.00,hist,89,21.21
1.00,hist,90,22.58
1.00,hist,91,24.00
1.00,hist,92,25.48
1.00,hist,93,27.03
1.00,hist,94,27.03
1.00,hist,95,27.03
1.00,hist,96,27.03
1.00,hist,97,27.03
1.00,hist,98,27.03
1.00,hist,99,27.03
1.00,hist,100,58.14
1.00,hist,1175,1406.05
5.00,hist,1,0.00
5.00,hist,2,0.00
5.00,hist,3,0.00
5.00,hist,4,0.00
5.00,hist,5,0.00
5.00,hist,6,0.00
5.00,hist,7,0.00
5.00,hist,8,0.00
5.00,hist,9,0.00
5.00,hist,10,0.00
5.00,hist,11,0.00
5.00,hist,12,0.00
5.00,hist,13,0.00
5.00,hist,14,0.00
5.00,hist,15,0.00
5.00,hist,16,0.00
5.00,hist,17,0.00
5.00,hist,18,0.00
5.00,hist,19,0.00
5.00,hist,20,0.00
5.00,hist,21,0.00
5.00,hist,22,0.00
5.00,hist,23,0.05
5.00,hist,24,0.18
5.00,hist,25,0.41
5.00,hist,26,0.73
5.00,hist,27,1.14
5.00,hist,28,1.64
5.00,hist,29,2.23
5.00,hist,30,2.91
5.00,hist,31,3.68
5.00,hist,32,4.55
5.00,hist,33,5.50
5.00,hist,34,6.55
5.00,hist,35,6.55
5.00,hist,36,6.55
5.00,hist,37,6.55
5.00,hist,38,6.55
5.00,hist,39,6.55
5.00,hist,40,6.55
5.00,hist,41,6.55
5.00,hist,42,6.55
5.00,hist,43,6.55
5.00,hist,44,6.55
5.00,hist,45,6.55
5.00,hist,46,6.55
5.00,hist,47,6.55
5.00,hist,48,6.55
5.00,hist,49,6.55
5.00,hist,50,6.55
5.00,hist,51,6.55
5.00,hist,52,6.55
5.00,hist,53,6.55
5.00,hist,54,6.55
5.00,hist,55,6.55
5.00,hist,56,10.21
5.00,hist,57,9.58
5.00,hist,58,9.00
5.00,hist,59,8.48
5.00,hist,60,8.03
5.00,hist,61,7.64
5.00,hist,62,7.30
5.00,hist,63,7.03
5.00,hist,64,6.82
5.00,hist,65,6.67
5.00,hist,66,6.58
5.00,hist,67,6.55
5.00,hist,68,6.58
5.00,hist,69,6.67
5.00,hist,70,6.82
5.00,hist,71,7.03
5.00,hist,72,7.30
5.00,hist,73,7.64
5.00,hist,74,8.03
5.00,hist,75,8.48
5.00,hist,76,9.00
5.00,hist,77,9.58
5.00,hist,78,10.21
5.00,hist,79,10.91
5.00,hist,80,11.67
5.00,hist,81,12.48
5.00,hist,82,13.36
5.00,hist,83,14.30
5.00,hist,84,15.30
5.00,hist,85,16.36
5.00,hist,86,17.48
5.00,hist,87,18.67
5.00,hist,88,19.91
5.00,hist,89,21.21
5.00,hist,90,22.58
5.00,hist,91,24.00
5.00,hist,92,25.48
5.00,hist,93,27.03
5.00,hist,94,28.64
5.00,hist,95,30.30
5.00,hist,96,30.30
5.00,hist,97,30.30
5.00,hist,98,30.30
5.00,hist,99,30.30
5.00,hist,100,64.87
5.00,hist,1175,961.12
10.00,hist,1,0.00
10.00,hist,2,0.00
10.00,hist,3,0.00
10.00,hist,4,0.00
10.00,hist,5,0.00
10.00,hist,6,0.00
10.00,hist,7,0.00
10.00,hist,8,0.00
10.00,hist,9,0.00
10.00,hist,10,0.00
10.00,hist,11,0.00
10.00,hist,12,0.00
10.00,hist,13,0.00
10.00,hist,14,0.00
10.00,hist,15,0.00
10.00,hist,16,0.00
10.00,hist,17,0.00
10.00,hist,18,0.00
10.00,hist,19,0.00
10.00,hist,20,0.00
10.00,hist,21,0.00
10.00,hist,22,0.00
10.00,hist,23,0.05
10.00,hist,24,0.18
10.00,hist,25,0.41
10.00,hist,26,0.73
10.00,hist,27,1.14
10.00,hist,28,1.64
10.00,hist,29,2.23
10.00,hist,30,2.91
10.00,hist,31,3.68
10.00,hist,32,4.55
10.00,hist,33,5.50
10.00,hist,34,6.55
10.00,hist,35,6.55
10.00,hist,36,6.55
10.00,hist,37,6.55
10.00,hist,38,6.55
10.00,hist,39,6.55
10.00,hist,40,6.55
10.00,hist,41,6.55
10.00,hist,42,6.55
10.00,hist,43,6.55
10.00,hist,44,6.55
10.00,hist,45,6.55
10.00,hist,46,6.55
10.00,hist,47,6.55
10.00,hist,48,6.55
10.00,hist,49,6.55
10.00,hist,50,6.55
10.00,hist,51,6.55
10.00,hist,52,6.55
10.00,hist,53,6.55
10.00,hist,54,6.55
10.00,hist,55,6.55
10.00,hist,56,10.21
10.00,hist,57,9.58
10.00,hist,58,9.00
10.00,hist,59,8.48
10.00,hist,60,8.03
10.00,hist,61,7.64
10.00,hist,62,7.30
10.00,hist,63,7.03
10.00,hist,64,6.82
10.00,hist,65,6.67
10.00,hist,66,6.58
10.00,hist,67,6.55
10.00,hist,68,6.58
10.00,hist,69,6.67
10.00,hist,70,6.82
10.00,hist,71,7.03
10.00,hist,72,7.30
10.00,hist,73,7.64
10.00,hist,74,8.03
10.00,hist,75,8.48
10.00,hist,76,9.00
10.00,hist,77,9.58
10.00,hist,78,10.21
10.00,hist,79,10.91
10.00,hist,80,11.67
10.00,hist,81,12.48
10.00,hist,82,13.36
10.00,hist,83,14.30
10.00,hist,84,15.30
10.00,hist,85,16.36
10.00,hist,86,17.48
10.00,hist,87,18.67
10.00,hist,88,19.91
10.00,hist,89,21.21
10.00,hist,90,22.58
10.00,hist,91,24.00
10.00,hist,92,25.48
10.00,hist,93,27.03
10.00,hist,94,28.64
10.00,hist,95,30.30
10.00,hist,96,32.03
10.00,hist,97,32.03
10.00,hist,98,32.03
10.00,hist,99,32.03
10.00,hist,100,68.39
10.00,hist,1175,886.63
20.00,hist,1,0.00
20.00,hist,2,0.00
20.00,hist,3,0.00
20.00,hist,4,0.00
20.00,hist,5,0.00
20.00,hist,6,0.00
20.00,hist,7,0.00
20.00,hist,8,0.00
20.00,hist,9,0.00
20.00,hist,10,0.00
20.00,hist,11,0.00
20.00,hist,12,0.00
20.00,hist,13,0.00
20.00,hist,14,0.00
20.00,hist,15,0.00
20.00,hist,16,0.00
20.00,hist,17,0.00
20.00,hist,18,0.00
20.00,hist,19,0.00
20.00,hist,20,0.00
20.00,hist,21,0.00
20.00,hist,22,0.00
20.00,hist,23,0.05
20.00,hist,24,0.18
20.00,hist,25,0.41
20.00,hist,26,0.73
20.00,hist,27,1.14
20.00,hist,28,1.64
20.00,hist,29,2.23
20.00,hist,30,2.91
20.00,hist,31,3.68
20.00,hist,32,4.55
20.00,hist,33,5.50
20.00,hist,34,6.55
20.00,hist,35,6.55
20.00,hist,36,6.55
20.00,hist,37,6.55
20.00,hist,38,6.55
20.00,hist,39,6.55
20.00,hist,40,6.55
20.00,hist,41,6.55
20.00,hist,42,6.55
20.00,hist,43,6.55
20.00,hist,44,6.55
20.00,hist,45,6.55
20.00,hist,46,6.55
20.00,hist,47,6.55
20.00,hist,48,6.55
20.00,hist,49,6.55
20.00,hist,50,6.55
20.00,hist,51,6.55
20.00,hist,52,6.55
20.00,hist,53,6.55
